LocaleIdentifier,FR
MsgComoBenefitCanNotBeApplied,La carte ne peut pas être jointe à la commande.
MsgPriceCheckerPlaceholder,Saisir le terme recherché
MsgPriceCheckerNotFound,Produit introuvable
MsgEmailSendConfirmTitle,Confirmation de l’e-mail
MsgEmailSendConfirmMessage,Votre reçu sera envoyé à l’adresse e-mail suivante :
BtnEmailSendConfirmChangeEmail,Modifier l’e-mail
MsgReceiptlessReturnsReturns,Retours
MsgReceiptlessReturnsItemsHeader,Retour sans reçu
MsgReceiptlessReturnsItemReturnedItems,Produit(s) retourné(s)
MsgReceiptlessReturnsItemQty,Qté
MsgReceiptlessReturnsItemInventory,Inventaire
MsgReceiptlessReturnsItemReturn,Supprimer
MsgReceiptlessReturnsItemSearchPlaceholder,Inventaire
MsgReceiptlessReturnsItemTax,Taxe
MsgReceiptlessReturnSummaryHeader,Résumé retour
MsgReceiptlessReturnSummaryAttachCustomer,Associer un\n client
MsgReceiptlessReturnSummaryPrice,Prix
MsgReceiptlessReturnSummaryTotal,TOTAL:
MsgReceiptlessReturnSummaryCash,Espèces
MsgReceiptlessReturnSummaryStoreCredit,Crédit
MsgReceiptlessReturnSummaryPriceReturn,Retour
MsgReceiptlessReturnSummarySetTenderType,Mode de paiement:
MsgReceiptlessReturnSummaryCustomer,Client:
MsgReceiptlessReturnSummaryPlaceholder,Saisir le motif
MsgReceiptlessReturnSummaryReturn,Retour %@
MsgReceiptlessReturnReceiptItems,Produits retournés
MsgReceiptlessReturnSpecifyReason,Spécifier la raison du retour
MsgReceiptlessReturnCashReturnSuccessMessage,Payez le client.
MsgReceiptlessReturnSuccessAddItemsGiftStoreCredit,Retour traité. Ajoutez des produits ou une carte cadeau à la commande.
MsgReceiptlessReturnSuccessAddItemsStoreCredit,Retour traité. Ajoutez des produits ou une carte cadeau à la commande.
MsgReceiptlessReturnSwitchYes,OUI
MsgReceiptlessReturnSwitchNo,NON
MsgReceiptlessReturnSearchingSN,Recherche en cours...
MsgReceiptlessReturnCantFindSN,Aucun produit correspondant au N/S dans l’inventaire.
MsgReceiptlessReturnPurchaseAmountMessage,La valeur du retour excède le montant de l'achat. Merci d'ajouter des produits pour le solde restant.
MsgWelcomeDemoConfig,La configuration démo sera chargée. Votre code PIN utilisateur sera envoyé à %@.
MsgScrOrderPreAuthOrder,Autorisée au préalable
MsgScrOrderPreAuthOrderDue,Autorisation préalable
MsgScrOrderPreAuthWithAnotherCard,La commande contient déjà une autorisation préalable. Annulez d’abord l’autorisation actuelle.
MsgScrOrderPreAuthChooseSeat,Cette commande contient une autorisation préalable.\n Appliquez-la à l’un des places.
MsgScrOrderPreAuthChooseBill,Cette commande contient une autorisation préalable. \n Appliquez-la à l’une des additions.
MsgScrOrderPreAuthChooseBillTitle,Commande avec autorisation préalable
MsgScrOrderPreAuthAmount,Montant de l’autorisation préalable
MsgPrePaymentNotSupportedOffline,Le service d’autorisation préalable n’est pas pris en charge en mode hors ligne.
MsgPrePaymentProcessorNotSupported,Les transactions avec l’autorisation préalable ne sont pas prises en charge par le processeur de CC.
MsgBatchPreAuthOrderShouldBeFinalized,Impossible de capturer le paiement car la commande nest pas finalisée.\n Finalisez la commande.
MsgBatchPreAuthOrderProceedCapture,Voulez-vous poursuivre ?
MsgMovePreAuthPaymnet,Choisissez l’autorisation préalable que vous souhaitez conserver.
MsgMovePreAuthPaymnetFailedCancel,Impossible d’annuler la transaction avec autorisation préalable\n La commande N°%@ est toujours ouverte.
MsgPreAuthConfirmCancel,Voulez-vous vraiment annuler la commande ?
MsgPreAuthTableNOEmptyTable,Aucune table vide
MskQuickCourseAndSeatEnterCourseCount,Saisir le nombre de plats
MskQuickCourseAndSeatEnterSeatCount,Saisir le nombre de places
MsgQuickCourseAndSeatManual,Saisie manuelle
MsgDeliveryConsoleOrderQueueTitle,Console de livraison – file d’attente des commandes
MsgDeliveryConsoleMapViewTitle,Console de livraison - Affichage plan
MsgDeliveryConsoleDriversViewTitle,Console de livraison – Affichage conducteurs
MsgDeliveryConsoleOrderHistoryViewTitle,Console de livraison – Historique file d’attente commandes
MsgDeliveryConsoleDriverHistoryViewTitle,Console de livraison - Affichage historique des conducteurs
MsgDeliveryConsoleDriverExpandedMapViewTitle,Console de livraison - Affichage étendu du plan
MsgDeliveryCouldNotResolveHomeLocation,Impossible de trouver le TPV. Vérifiez l’adresse de votre établissement dans les paramètres de la console de gestion.
MsgDeliveryTimeSinceOrdered,Temps depuis la cmd\n
MsgDeliveryStatus,Statut du conducteur
MsgDeliveryOrderDeliveryStatusReady,Prêt
MsgDeliveryOrderDeliveryStatusCooking,En préparation
MsgDeliveryOrderDeliveryStatusAssigned,Assigné
MsgDeliveryOrderDeliveryStatusEnroute,En route
MsgDeliveryOrderDeliveryStatusRequested,Demandé
MsgDeliveryOrderDeliveryStatusAccepted,Acceptée
MsgDeliveryOrderDeliveryStatusInTransit,En déplacement
MsgDeliveryOrderDeliveryStatusUnassigned,Non assigné
MsgDeliveryOrderDeliveryStatusDelivered,Livré
MsgDeliveryOrderDeliveryStatusReturning,Sur le chemin du retour
MsgDeliveryOrderDeliveryStatusReturned,Retourné
MsgDeliveryOrderDeliveryStatusUnableToReturn,Produit(s) à retourner
MsgDeliveryOrderDeliveryStatusUnknown,Inconnu
MsgDeliveryOrderDeliveryEstimatedDelivery,Heure de livraison estimée:
MsgDeliveryOrderUnpaidTitle,Impayé
MsgDeliveryMinutesShort,Min
MsgDeliveryHourShort,Heure
MsgDeliverySeeAllOrders,Voir toutes les commandes
MsgDeliveryPinsShowTitle,Affichage des codes PIN
MsgDeliveryMapReadytime,Temps de préparation
MsgDeliveryMapDistance,Distance
MsgDeliveryMapWorkLocationTitle,Travail
MsgDeliveryMapTotalRouteTime,Temps de trajet total :
MsgDeliveryMapLinks,Liens du plan
MsgDeliveryAssignSelectedOrders,Assigner les commandes sélectionnées
MsgDeliveryMapMarkerReadyToGo,Prêt à l’envoi
MsgDeliveryMapMarkerNotYetReady,Pas encore prêt
MsgDeliveryMapMarkerReadyIn,Prêt dans %@
MsgDeliveryMapSuggestedOrders,Suggestions de commandes
MsgDeliveryMapSeeDeliveryZone,Voir la zone de livraison
MsgDeliveryMapButtonOptionOn,Activés
MsgDeliveryMapButtonOptionOff,Désactivés
MsgDeliverySelectDriverTitle,Sélectionner un conducteur
MsgDeliveryDeliveryDriversTitle,Chauffeur-livreur:
BtnDeliveryAssignDriver,Assigner
BtnDeliveryUnassignDriver,Retirer l’assignation
BtnDeliveryOrderHistory,Historique des commandes
BtnDeliveryOrderMap,Plan
BtnDeliveryOrderQueue,File d’attente des commandes
BtnDeliveryOrderDrivers,Conducteurs
BtnDeliveryOrderDriverHistory,Historique des conducteurs
MsgDeliveryOrderDetailsAddresses,Adresses
BtnDeliveryBackToOrderQueue,Retour à la file des commandes
BtnDeliveryBackToDriversView,Retour à l’affichage Chauffeur
MsgDeliveryOrderWhichOrderDetailsWantToSee,Quels détails des commandes souhaitez-vous consulter ?
MsgDeliveryOrderDetailsOrderInformation,Informations sur la commande
MsgDeliveryOrderDetailsRouteDirections,Itinéraire
MsgDeliveryOrderDetailsReturnDirections,Instructions de retour
MsgDeliveryOrderDetailCustomerNameColon,Clt Nom :
MsgDeliveryOrderDetailPhoneHashColon,N° de téléphone :
MsgDeliveryOrderDetailDriverAssignedColon,Conducteur assigné :
MsgDeliveryOrderDetailEstimatedDeliveryTimeColon,Heure de livraison estimée :
MsgDeliveryOrderDetailUnnasignOnlyOwnOrdersWarningMessage,Vous pouvez uniquement retirer vos propres assignations des commandes. Les assignations ne peuvent être retirées que par le responsable.
MsgDeliveryOrderDetailAssignOrderToYourselfWarningMessage,Vous ne pouvez assigner des commandes qu’à vous-même. Seul le responsable peut les assigner aux autres employés.
MsgDeliveryDriversDriver,Chauffeur
MsgDeliveryDriversTimeInOut,Temps à lintérieur / à l’extérieur
MsgDeliveryDriversExpectedReturn,Retour attendu
BtnDeliveryDriversOrdersAssigned,Commandes assignées
BtnDeliveryDriversShowClockedInDriversOnly,Afficher uniquement les conducteurs livreurs pointés à l'arrivée
BtnDeliveryDriversShowAllDrivers,Afficher tous les conducteurs livreurs
MsgDeliveryDriversTimeOut,au départ
MsgDeliveryDriversTimeIdle,Inactif
MsgDeliveryDriverCheckOut,Vérification
MsgDeliveryDriverReturningNow,Sur le chemin du retour
MsgDeliveryOrderHistoryTenderType,Mode de paiement
MsgDeliveryOrderHistoryCardInfo,N°CC/Type de carte/N°Cadeau
MsgDeliveryOrderHistoryCardInfoShort,N°CC/N°Cadeau
MsgDeliveryOrderHistoryPaymentAmountShort,Paiement
MsgDeliveryOrderHistoryTipAmountShort,Pourboire
MsgDeliveryOrderHistoryTotalPaid,Total payé
MsgDeliveryOrderHistoryDurationOut,Durée
MsgDeliveryOrderHistoryOrderStatus,Statut de la commande
MsgDeliveryOrderHistoryDriverStatus,Statut du conducteur
BtnDeliveryDriversTillManagement,Gestion des caisses
BtnDeliveryDriversHistoryTotalPayments,Total des paiements
BtnDeliveryDriversHistoryOrderTotals,Total des commandes
BtnDeliveryDriversHistoryTipEntry,Saisie du pourboire
MsgDeliveryDriversCashinOutTitle,Somme encaissée / décaissée par le conducteur
MsgDeliveryDriversChooseCashOperationMessage,"Choisir entre Somme encaissée et Somme décaissée, puis saisir le montant"
BtnDeliveryDriversCashIn,Somme encaissée
BtnDeliveryDriversCashOut,Somme décaissée
MsgDeliveryDriversEnterTotalMileage,Saisir le kilométrage total parcouru
MsgDeliveryDriversEnterTotalKilometres,Saisir le kilométrage total pour la livraison
MsgDeliveryDriversConfirmMileage,Confirmer le kilométrage
MsgDeliveryDriversConfirmKilometres,Confirmer votre kilométrage
MsgDeliveryDriversConfirmCorrectMileage,"Si le nombre est correct, appuyez sur OK."
MsgDeliveryDriversConfirmIncorrectMileage,"Sinon, saisissez le kilométrage correct."
MsgDeliveryDriversConfirmIncorrectKilometres,"Sinon, saisissez le kilométrage correct."
MsgDeliveryDriversMilesTitle,Miles
MsgDeliveryDriversKilometresTitle,Kilomètres
MsgAdditionalOrdersAreReady,Les commandes supplémentaires sont presque prêtes. Voulez-vous les prendre aussi ?
MsgAdditionalOrdersCurrentOrder,Commande en cours
MsgAdditionalOrdersOrderID,Commande N°:
MsgAdditionalOrdersReadyForDelivery,Prête(s) pour la livraison
MsgAdditionalOrdersDirections,Instructions:
MsgAdditionalOrdersReturnDirections,Instructions de retour
MsgAdditionalOrdersUpcomingOrder,Prochaine commande N°%d
MsgAdditionalOrdersWaitAndTravelTime,Délai d'attente : %d min. Durée du voyage : %.0f min.
MsgAdditionalOrdersAddToDelivery,Ajouter à la livraison
MsgAdditionalOrdersRemoveFromDelivery,Retirer de la livraison
MsgAdditionalOrdersDetails,Détails de la commande
MsgAdditionalOrdersDetailsMany,Détails de la commande [%d sur %d]
MsgAdditionalOrdersItem,Produit
MsgDeliveryOptimizationNotAvailable,L’optimisation de la livraison n’est pas disponible.
MsgDeliveryOrdersDirectionsTitle,Coordonnées :
MsgDeliveryOrdersEmailDirectionsTitle,Adresse e-mail :
MsgDeliveryOrdersPrintText,Souhaitez-vous envoyer ces informations sur la commande par e-mail ou les imprimer ?
MsgDeliveryOrdersDeliveryDirectionTitle,Adresse de livraison
MsgDeliveryOrdersDirectionFetchFailedOrders,Aucun résultat trouvé avec le type de déplacement sélectionné pour les commandes : %@.
MsgDeliveryOrdersDirectionFetchFailed,Aucun résultat trouvé avec le type de déplacement sélectionné
BtnDeliverySendOrderAndRouteInfo,Envoyer les informations sur la commande et l’itinéraire
MsgDeliveryIncludeRouteDirections,Inclure les informations sur l’itinéraire
MsgDeliverySendOrderAndRouteInfoNoEmail,Un e-mail est requis pour envoyer un e-mail aux conducteurs.
MsgDeliverySendOrderAndRouteInfoNoPhoneNo,Un numéro de téléphone est requis pour envoyer un SMS aux conducteurs.
MsgDeliveryChangeDiningOptionClockOut,Impossible de modifier l’option de restauration si le chauffeur-livreur a déjà payé.
MsgDeliveryAddressOutsideDeliveryZone,Adresse hors de la zone de livraison
MsgDeliveryAddressOutsideDeliveryZoneManagerPinToProceedMessage,%@ l’adresse se trouve hors de la zone de livraison. Veuillez saisir un code PIN du responsable pour continuer.
MsgDeliveryAddressGeocodingFailedPinToProceedMessage,"Impossible de vérifier l’adresse du client, vérifiez votre connexion Internet.\nVeuillez saisir un code PIN du responsable pour continuer."
MsgDeliveryAddressInvalidErrorMessage,L’adresse de ce client n’est pas valide.\nSouhaitez-vous la modifier ?
MsgDeliveryAddressInvalidErrorPleaseEditMessage,L’adresse du client est incorrecte.\nMerci de modifier l’adresse.
MsgDeliveryAddressIsNotSet,L’adresse de ce client n’est pas valide.\nSouhaitez-vous la modifier ?
MsgDeliveryAddressIsNotSetPleaseSet,L’adresse du client est incorrecte.\nMerci de modifier l’adresse.
MsgDeliveryPinOptionsShow,Afficher les options de code PIN
MsgDeliveryPinOptionsClose,Fermer les options de code PIN
MsgDeliveryManagementNoAccessPermissions,L’utilisateur doit avoir une autorisation paramétrée pour accéder à la fonction Gestion des livraisons.
MsgDeliveryManagementInvalidSettingKeys,Les clés Google Maps non configurées. Merci de contacter l’assistance.
MsgDeliveryAmountDueShort,Montant Dû
MsgDeliveryCloseOpenOrders,Fermer les commandes ouvertes?
MsgDeliveryCloseUppaidOrdersToCash,Fermer les commandes impayées comme payées en espèces ?
MsgDeliveryTillsCashDrop,Gestion de la caisse - Dépôt
MsgDeliveryOpenUnpaidOrderRemaining,Commandes ouvertes / impayées restantes
MsgDeliveryOpenUnpaidOrderRemainingMessage,Il existe toujours des commandes ouvertes impayées.\n Veuillez ouvrir ces commandes et procéder aux paiements.
MsgDeliveryOutstandingTips,Pourboires impayés
MsgDeliveryOutstandingTipsMessage,Vous n’avez pas saisi tous vos pourboires pour votre service.\nSaisir les pourboires maintenant ? (Vous serez redirigé vers le traitement des pourboires.)
BtnDeliveryEnterTips,Saisir les pourboires
BtnDeliveryDriverEndShift,Terminer le service
MsgSalesSummaryDeliveryDriverShiftReport,Rapport de service du chauffeur-livreur
BtnDeliveryDriverRunSalesReport,Exécuter le rapport des ventes
MsgDeliveryFailedToFetchReport,Échec de récupération du rapport. Veuillez vérifier votre connexion Internet et réessayer plus tard.
MsgDeliveryDriverHasUnsyncedData,Certains de vos %@ ne se sont pas synchronisés avec le serveur.
MsgDeliveryDriverHasUnsyncedDataProceedMessage,Cela pourrait avoir une incidence sur le rapport des ventes. Souhaitez-vous patienter ou exécuter le rapport malgré tout ?
MsgDeliveryTillsOperations,Opérations de caisses
MsgDeliveryDriverNotClockedIn,Le conducteur n’a pas pointé à l’arrivée.
MsgDeliveryVirtualTillsFailedToReceive,Échec de récupération des caisses depuis l’iPad principal. Vérifiez si l’iPad principal est joignable et si votre connexion Internet fonctionne.
MsgDeliveryEndShiftProcedureFailedToReceiveData,Échec de récupération de données depuis le TPV principal. Merci de vérifier si liPad principal est joignable et si votre connexion Internet est bonne.
MsgDeliverySearchBarPlaceholder,"Commande N°, nom client"
MsgDeliveryDriverCheckedOut,Payé
MsgDeliveryDriverCheckedIn,Enregistré
MsgDeliveryOrderDetailsTransportDrive,En voiture
MsgDeliveryOrderDetailsTransportWalk,À pied
MsgDeliveryOrderDetailsTransportBike,À moto
MsgDeliveryMapMultipleOrderSelectionTitle,Sélectionner les Commandes de livraison pour cette destination
MsgDeliveryOrderCannotBeAutomaticallyClosed,La commande a des notes divisées et ne peut pas être fermée automatiquement
MsgDeliveryOrdersCannotBeAutomaticallyClosed,La/les commande(s) %@ a(ont) des notes divisées et ne peut (peuvent) pas être fermée(s) automatiquement
MsgScrOrderSetTillNotSetToCloseOrdersToCash,La caisse doit être définie pour fermer les commandes par espèces.
MsgDeliveryShowCheckedOutDriversOnly,Afficher uniquement les conducteurs livreurs pointés à l'arrivée
MsgDeliveryShowAllDrivers,Afficher tous les conducteurs livreurs
BtnCustomDeliverySettings,Options de livraison
MsgCustomDeliveryAutoAssign,Assigner
MsgCustomDeliveryOrderShouldBePaid,Commande %@ devrait être payer en intégralité UberRUSH delivery
MsgCustomDeliveryWaitingForStatus,En attente de l'état de livraison UberRUSH
MsgCustomDeliveryWaitingForQuote,En attente d'un devis de livraison UberRUSH
MsgCustomDeliveryRetrievingAccessToken,Impossible de récupérer le jeton d'accès pour UberRUSH...
MsgCustomDeliveryWaitingForCancellation,En attente d'annulation de livraison UberRUSH
MsgCustomDeliveryWaitingForDeliveryResponse,En attente de réponse de livraison UberRUSH
MsgCustomDeliveryCancellation,Annulation de la livraison Uber
MsgCustomDeliveryDoYouWantToCancelDelivery,Voulez-vous procéder à l'annulation?
MsgCustomDeliveryUnableToRetrieveAccessToken,Impossible de récupérer le jeton d'accès pour UberRUSH 
MsgCustomDelivery,Livraison
MsgCustomDeliveryLargeQuoteTitle,Grande boîte
MsgCustomDeliveryDriverInfoHeader,%@ Info conducteur livreur - Commande %@
MsgCustomDeliveryViewDriverInfo,Voir l'information sur Uber Driver
MsgCustomDeliveryOrderAlreadyAccepted,"Cette commande a déjà été acceptée par un conducteur UberRUSH. En cas de son annulation, ce retrait peut toujours être facturé au marchand."
MsgCustomDeliveryService,Facture Web Livraison
MsgCustomDeliveryServiceFee,Frais de service
MsgCustomDeliveryAssign,Assigner
MsgCustomSettingsManual,Saisie manuelle
BtnCustomSettingsSaveClose,Enregistrer et quitter
MsgCustomDeliveryUberDriverInfo,Nom: \nTéléphone: \nMarque/Modèle:\nPlaque d'immatriculation#:
MsgCustomDeliveryUberPickupRejection,Rejet d'Uber Pickup
MsgCustomDeliveryUberPickupWasRejected,Votre livraison préalablement acceptée a été rejeté par un conducteur UberRUSH. Merci de patienter jusqu'à ce qu'un nouveau conducteur accepte votre demande.
MsgCustomDeliveryPostmatesDriverInfo,Nom: \nTéléphone: \nMarque/Modèle:\nPlaque d'immatriculation#:
MsgEditModeEditItemMode,Gérer le mode Produit
MsgEditModeDescription,Description
MsgEditModeDescriptionShort,Desc
MsgEditModeSKU,UGS
MsgEditModeBin,Bin
MsgEditModeUOM,UDM
MsgEditModePriceEmbedded,Prix incorporé
MsgEditModePrintLabels,Imprimer les étiquettes
MsgEditModeCategory,CATÉGORIE
MsgEditModeSubcategory,Sous-catégorie
MsgEditModeSubcat,SOUS-CATÉGORIE
MsgEditModeBalance,Solde
MsgEditModePrintersKDS,Imprimantes
MsgEditModeSelectPrinterKDS,Sélectionner l’imprimante
MsgEditModeSearchPrinterKDS,Sélectionner l’imprimante
MsgEditModeComboWarning,Les produits contenus dans cette formule “Combo” doivent être gérés individuellement.
MsgEditModeServiceItemWarning,Les services ne peuvent pas disposer d’un stock
MsgEditModeAdminClassItemWarning,L’inventaire du produit avec la classe admin ne peut pas être géré.
