LocaleIdentifier,IT
MsgInventoryPOsIncluding,Ordini d’acquisto compresi: %@
MsgInventoryPurchaseOrderID,ID ordine d’acquisto
MsgInventoryVendorName,Nome fornitore
MsgInventoryVendorInvoiceNumber,Fattura fornitore n.
MsgInventoryDate,Data
MsgInventoryItem,Articolo
MsgInventoryCountDuplicates,"Trovati %lD duplicati, saranno eliminati prima della presentazione"
MsgInventoryCurrent,Attuale
MsgInventoryReceive,Ricevi
MsgInventoryActual,Attuale
MsgInventoryWaste,Residui
MsgInventoryDamage,Danni
MsgInventoryName,Nome
MsgInventoryQuantity,Quantità
MsgInventoryQty,Q.tà
MsgInventoryUnit,Unità
MsgInventoryClosed,Chiuso
MsgInventoryRec,Nota
MsgInventoryProductResultList,Elenco risultato prodotto
MsgInventorySelectProductOrIngredient,Seleziona prodotto o ingrediente
MsgInventoryPleaseSelectUnit,Seleziona un’unità
MsgInventoryPleaseSelectReason,Seleziona un’unità
MsgInventoryMoreDetails,Note
MsgInventoryIngredient,Ingrediente
MsgInventoryObtainingPurchaseOrder,Ottieni ordine d’acquisto
MsgInventoryObtainingPurchaseOrders,Ottieni ordini d’acquisto
MsgInventoryUpdateReceivedInfo,Aggiornamento delle informazioni ricevute...
MsgInventoryErrorOccurredFetchFailed,Recupero inventario fallito!
MsgInventoryErrorOccurredInternet,Si è verificato un errore. Controlla la connessione internet!
MsgInventoryEnterAmount,Inserisci importo
MsgInventoryPriorInventory,Inventario precedente (%@)
MsgInventoryActualInventory,Inventario effettivo (%@)
MsgInventoryVariance,Varianza (%@)
MsgInventoryVariancePerc,Varianza (%%)
MsgInventoryReason,Motivo
MsgInventoryEnterReason,Inserisci il motivo
MsgInventoryEnterCostPerUnit,Prezzo per unità
MsgInventoryNone,Nessuno
MsgInventoryUpdate,Aggiorna
MsgInventoryUpdatePrice,Aggiorna il prezzo
MsgInventoryUpdateCost,Aggiorna il costo
MsgInventoryAdjustCost,Aggiustamento\nimporto
MsgInventoryPriceUpdated,Prezzo aggiornato
MsgInventoryCostUpdated,Costo aggiornato
MsgInventoryNewPrice,Nuovo prezzo: %@
BtnShowResultsPrinterDetails,Dettagli stampa
BtnShowResultsPrinterSummary,Stampa riepilogo
MsgInventoryCurrentPrice,Prezzo corrente: %@
MsgInventoryCurrentCost,Costo corrente: %@
MsgInventoryNewCost,Nuovo costo: %@
MsgInventoryCurrent:,Corrente: %@%@
MsgInventoryCurrentQuantityUnits,Corrente: %.2f %@
MsgInventoryThePriceOf,Prezzo di %@ è stato modificato ed è pari a %@. Aggiorna altre stazioni per distribuire la modifica.
MsgInventoryTheCostOf,Il prezzo %@ è stato modificato ed è pari a %@. Aggiorna altre stazioni per distribuire la modifica.
MsgInventoryPrice,Prezzo
MsgInventoryCost,Costo
MsgInventoryPleaseSpecifyReason,Specifica motivo
MsgInventoryPleaseCorrectQuantity,Specifica quantità corretta
MsgInventoryNA,ND
MsgInventoryEnterSerialNumber,Inserisci il numero di serie\n(separato da una nuova linea)
MsgInventoryStatus,Stato
MsgInventoryFilterBySerialNumber,Filtra per numero di serie
MsgInventorySerialNumber,Numero di serie
MsgInventorySerialNumbers,Numero(i) di serie
MsgInventoryFetchingSerialNumbers,Recupero per numero di serie...
MsgInventoryInStock,Disponibile
MsgInventorySold,Venduto
MsgInventoryWastage,Sprechi
MsgInventoryEnsureThisValue,Controlla che il valore di costo sia maggiore o pari a 0.0001.
MsgInventoryQuantityAndNumber,Quantità di scorte e totale di numero di serie non corrispondono.
MsgInventorySerialNumberAlreadyExists,Numero di serie già esiste
MsgInventorySynchronize,Sincronizza
MsgInventoryScannedItemCannotBeAdded,Articolo non trovato e non può essere aggiunto all'ordine perchè è già pagato
MsgInventoryResultUnmatched,Impareggiabile
MsgInventoryResultShrinkage,Restringimento
MsgInventoryResultMatched,Pareggiabile
MsgActualSerialResultsList,Lista dei risultati di serie attuale
MsgInventoryResultReceive,Ricevi?
MsgInventoryResultReceiveAll,Ricevi tutto?
MsgInventoryResultWaste,Rifiuto?
MsgInventoryResultWasteAll,Rifiuta tutto?
MsgInventoryReadyForScanOrInput,Pronto per la scansione o l'immissione manuale
MsgInventoryEnteredSerialNumber,Inserito numero seriale
MsgInventoryNoSelectingItems %@,Non hai selezionato nessun articolo%@. Procedere comunque?
MsgInventoryInputReason,Inserisci motivo
MsgInventoryReceivedSerialNumbers,Ricevuto
MsgInventoryWastedSerialNumbers,Sprecato
MsgInventoryMatchedSerialNumbers,Pareggiabile
MsgInventoryCheckingInventory,Controllo inventario...
MsgInventorySerialNumberIs,Con numero di serie
MsgInventorySerialNumberSold,Contrassegnato come venduto
MsgInventorySerialNumberWastedV2,contrassegnato come scarto
MsgInventorySerialNumberNotMatches,Non esiste nellinventario
MsgPunchhLoadConfigurationError,Errore del carico di configurazione
MsgPunchhUserInfo,Informazioni utente Punchh
MsgPunchhCreateUserInfo,Crea utente Punchh
MsgPunchhEnterUserInfo,Inserisci informazioni utente Punchh
MsgPunchhEnterPhoneEmailError,Dovresti inserire e-mail o numero di telefono
MsgPunchhLookupByPhoneOrEmailError,Blocco da più params non è supportato.\nSi prega di utilizzare telefono /e-mail /carta
MsgPunchhFirstLastNameError,Dovresti inserire nome o cognome
MsgPunchhCustomerPhoneEmailError,Il cliente ha nessun telefono o e-mail
MsgPunchhCustomerLookup,Ricerca utente Punchh
MsgPunchhUserCreate,Crea utente Punchh
MsgPunchhLoadingUserRedemption,Caricamento informazioni di riscatto ...
MsgPunchhRedemptionCode,Codice di riscatto
MsgPunchhEnterRedemptionCode,Inserisci il codice di riscatto
MsgPunchhRedemptionCodeError,Si dovrebbe entrare Codice di riscatto digitale
MsgPunchhApplyRedemption,L'applicazione di sconto ...
MsgPunchhSuccessfullyRedeemed,Riscattato con successo
MsgPunchhPoints,Punti Punchh
MsgPunchhNoRedeemableRewards,Cliente %@ %@ non ha delle ricompense da riscattare
MsgPunchhCheckInUser,Controllo cliente…
MsgPunchhSendingOrder,L'invio di dettagli ricevuta ...
MsgPunchhSendingOrderError,L'invio di ricezione non riuscito
MsgPunchhSendingOrderSuccess,Ricevuta mandata con successo
MsgPunchhBankedRewards,Gestisci premi
MsgPunchhUnredeemCards,Riscatta ricompense
MsgPunchhUserManage,Modifica utente Punchh
MsgPunchhNoRedeemableRewardsYes,Utente non ha ricompense riscattabili
MsgPunchhUsers,Utenti di carte fedeltà Punchh
MsgPunchhReceipts,Ricette Punchh
MsgPunchhCreateError,Impossibile creare Punchh utente\n.Errore sconosciuto
MsgPunchhSelectItemError,Seleziona
MsgPunchhRewardsAvailableCaption,Premi disponibili
MsgPunchhSwipeOrScanTitle,Scannerizza o striscia la carta fedeltà
MsgPunchhReaderOrScannerWaiting,Scannerizza o striscia la carta fedeltà
MsgPunchhCaptionPoints,Saldo punti
MsgPunchhRedeemCard,Riscatta punti fedeltà
MsgPucnhhBankedRewardsPointsEarnedMessage,Hai un appuntamento.
MsgComoBenefitCanNotBeApplied,La carta non può essere allegata all’ordine
MsgPriceCheckerPlaceholder,Inserisci parola di ricerca
MsgPriceCheckerNotFound,Prodotto non trovato
MsgEmailSendConfirmTitle,Conferma e-mail
MsgEmailSendConfirmMessage,La tua ricevuta verrà inviata al seguente indirizzo e-mail:
BtnEmailSendConfirmChangeEmail,Modifica e-mail
MsgReceiptlessReturnsReturns,Resi
MsgReceiptlessReturnsItemsHeader,Reso senza ricevuta
MsgReceiptlessReturnsItemReturnedItems,Articoli resi
MsgReceiptlessReturnsItemQty,Q.tà
MsgReceiptlessReturnsItemInventory,Inventario
MsgReceiptlessReturnsItemReturn,Rimuovi
MsgReceiptlessReturnsItemSearchPlaceholder,Inventario
MsgReceiptlessReturnsItemTax,Tassa
MsgReceiptlessReturnSummaryHeader,Restituito totale
MsgReceiptlessReturnSummaryAttachCustomer,Allega un\nCliente
MsgReceiptlessReturnSummaryPrice,Prezzo
MsgReceiptlessReturnSummaryTotal,Totale:
MsgReceiptlessReturnSummaryCash,Contante
MsgReceiptlessReturnSummaryStoreCredit,Credito
MsgReceiptlessReturnSummaryPriceReturn,Restituzione
MsgReceiptlessReturnSummarySetTenderType,Metodo di pagamento:
MsgReceiptlessReturnSummaryCustomer,Cliente:
MsgReceiptlessReturnSummaryPlaceholder,Inserisci il motivo
MsgReceiptlessReturnSummaryReturn,Restituzione %@
MsgReceiptlessReturnReceiptItems,Articoli resi
MsgReceiptlessReturnSpecifyReason,Specifica motivo per restituzione
MsgReceiptlessReturnCashReturnSuccessMessage,Paga al cliente
MsgReceiptlessReturnSwitchYes,SÌ
MsgReceiptlessReturnSwitchNo,NO
MsgReceiptlessReturnSearchingSN,Ricerca in corso...
MsgReceiptlessReturnCantFindSN,Nessun prodotto corrispondente al numero di serie nell’inventario.
MsgReceiptlessReturnPurchaseAmountMessage,Il valore del reso supera quelo d'acquisto. Aggiuingi articoli per usare l'importo residuo.
MsgWelcomeDemoConfig,L’applicazione caricherà configurazione demo. PIN utente verrà inviato a %@.
MsgScrOrderPreAuthOrder,Pre-autorizzato
MsgScrOrderPreAuthOrderDue,Pre-autorizzato
MsgScrOrderPreAuthWithAnotherCard,L’ordine è già pre-autorizzato. Annulla prima la pre-autorizzazione corrente.
MsgScrOrderPreAuthChooseSeat,Questo ordine è pre-autorizzato. \n Applica la pre-autorizzazione ad uno dei posti
MsgScrOrderPreAuthChooseBill,Questo ordine è pre-autorizzato.\n Applica la pre-autorizzazione ad una delle fatture.
MsgScrOrderPreAuthChooseBillTitle,Ordine pre-autorizzato
MsgScrOrderPreAuthAmount,Importo pre-autorizzazione
MsgPrePaymentNotSupportedOffline,Servizio pre-autorizzazione non è supportato nella modalità off-line.
MsgPrePaymentProcessorNotSupported,Processore di carta di credito non supporta le operazioni pre-autorizzate.
MsgBatchPreAuthOrderShouldBeFinalized,Pagamento non può essere acquisito a causa di un ordine non finalizzato.\nFinalizza l’ordine.
MsgBatchPreAuthOrderProceedCapture,Desideri procedere?
MsgMovePreAuthPaymnet,Scegli quale pre-autorizzazione desideri conservare.
MsgMovePreAuthPaymnetFailedCancel,Impossibile annullare l’operazione di pre-autorizzazione\nL’ordine n.%@ è ancora aperto.
MsgPreAuthConfirmCancel,Annulla ordine?
MsgPreAuthTableNOEmptyTable,Nessun tavolo vuoto
MskQuickCourseAndSeatEnterCourseCount,Inserisci il totale dei pasti
MskQuickCourseAndSeatEnterSeatCount,Inserisci il totale dei posti
MsgQuickCourseAndSeatManual,Manuale
MsgDeliveryConsoleOrderQueueTitle,Consolle di consegna - visualizza coda di attesa ordini
MsgDeliveryConsoleMapViewTitle,Consolle di consegna - visualizza mappa
MsgDeliveryConsoleDriversViewTitle,Consolle di consegna - visualizza autiste
MsgDeliveryConsoleOrderHistoryViewTitle,Consolle di consegna - visualizza cronologia coda ordini
MsgDeliveryConsoleDriverHistoryViewTitle,Consolle di consegna - visualizza cronologia autista
MsgDeliveryConsoleDriverExpandedMapViewTitle,Consolle di consegna - visualizza mappa estesa
MsgDeliveryCouldNotResolveHomeLocation,Impossibile risolvere la posizione del POS. Controlla indirizzo del punto vendita nelle impostazioni di backend
MsgDeliveryTimeSinceOrdered,Tempo da \nquando è ordinato
MsgDeliveryStatus,Stato autista
MsgDeliveryOrderDeliveryStatusReady,Pronto
MsgDeliveryOrderDeliveryStatusCooking,In preparazione
MsgDeliveryOrderDeliveryStatusAssigned,Assegnato
MsgDeliveryOrderDeliveryStatusEnroute,In consegna
MsgDeliveryOrderDeliveryStatusRequested,Richiesto
MsgDeliveryOrderDeliveryStatusAccepted,Accettato
MsgDeliveryOrderDeliveryStatusInTransit,In transito
MsgDeliveryOrderDeliveryStatusUnassigned,Non assegnato
MsgDeliveryOrderDeliveryStatusDelivered,Consegnato
MsgDeliveryOrderDeliveryStatusReturning,Tornata adesso
MsgDeliveryOrderDeliveryStatusReturned,Reso
MsgDeliveryOrderDeliveryStatusUnableToReturn,Articolo(i) da rendere
MsgDeliveryOrderDeliveryStatusUnknown,Sconosciuto
MsgDeliveryOrderDeliveryEstimatedDelivery,Consegna prevista:
MsgDeliveryOrderUnpaidTitle,Non pagato
MsgDeliveryMinutesShort,Min
MsgDeliveryHourShort,Ora
MsgDeliverySeeAllOrders,Vedi tutti ordini
MsgDeliveryPinsShowTitle,Mostra segnamappa
MsgDeliveryMapReadytime,Orapronto
MsgDeliveryMapDistance,Distanza
MsgDeliveryMapWorkLocationTitle,Lavoro
MsgDeliveryMapTotalRouteTime,Tempo totale percorso:
MsgDeliveryMapLinks,Link a mappa
MsgDeliveryAssignSelectedOrders,Assegna ordini selezionati
MsgDeliveryMapMarkerReadyToGo,Pronto a consegnare
MsgDeliveryMapMarkerNotYetReady,Ancora non pronto
MsgDeliveryMapMarkerReadyIn,Pronto in %@
MsgDeliveryMapSuggestedOrders,Ordini suggeriti
MsgDeliveryMapSeeDeliveryZone,Vedi zona di consegna
MsgDeliveryMapButtonOptionOn,ATTIVO
MsgDeliveryMapButtonOptionOff,DISATTIVO
MsgDeliverySelectDriverTitle,Seleziona autista
MsgDeliveryDeliveryDriversTitle,Autista di consegna:
BtnDeliveryAssignDriver,Assegna autista
BtnDeliveryUnassignDriver,Non assegnare autista
BtnDeliveryOrderHistory,Cronologia ordine
BtnDeliveryOrderMap,Mappa
BtnDeliveryOrderQueue,Coda ordini
BtnDeliveryOrderDrivers,Autisti
BtnDeliveryOrderDriverHistory,Cronologia autisti
MsgDeliveryOrderDetailsAddresses,Indirizzi
BtnDeliveryBackToOrderQueue,Torna a coda
BtnDeliveryBackToDriversView,Torna a visualizzazione autista
MsgDeliveryOrderWhichOrderDetailsWantToSee,Quali dettagli dell’ordine desideri visualizzare?
MsgDeliveryOrderDetailsOrderInformation,Informazioni su ordine
MsgDeliveryOrderDetailsRouteDirections,Indicazioni su percorso
MsgDeliveryOrderDetailsReturnDirections,Indicazioni su restituzione
MsgDeliveryOrderDetailCustomerNameColon,Nome cliente:
MsgDeliveryOrderDetailPhoneHashColon,Numero di telefono:
MsgDeliveryOrderDetailDriverAssignedColon,Autista assegnato:
MsgDeliveryOrderDetailEstimatedDeliveryTimeColon,Ora prevista di consegna:
MsgDeliveryOrderDetailUnnasignOnlyOwnOrdersWarningMessage,È possibile disassegnare solo propri ordini. Solo il responsabile può disassegnare altri ordini.
MsgDeliveryOrderDetailAssignOrderToYourselfWarningMessage,È possibile assegnare ordini solo a se stesso. Solo il responsabile può assegnare ordini ai altri dipendenti.
MsgDeliveryDriversDriver,Autista
MsgDeliveryDriversTimeInOut,Autista entrata / uscita
MsgDeliveryDriversExpectedReturn,Ritorno previsto
BtnDeliveryDriversOrdersAssigned,Ordini assegnati
BtnDeliveryDriversShowClockedInDriversOnly,Mostra solo gli autisti registrati in entrata
BtnDeliveryDriversShowAllDrivers,Mostra tutti autisti
MsgDeliveryDriversTimeOut,Timeout
MsgDeliveryDriversTimeIdle,Inattivo
MsgDeliveryDriverCheckOut,Verifica
MsgDeliveryDriverReturningNow,Tornata adesso
MsgDeliveryOrderHistoryTenderType,Metodo di pagamento
MsgDeliveryOrderHistoryCardInfo,CC numero/Tipo carta/Regalo numero
MsgDeliveryOrderHistoryCardInfoShort,CC numero/Regalo numero
MsgDeliveryOrderHistoryPaymentAmountShort,Imp. di pagamento
MsgDeliveryOrderHistoryTipAmountShort,Imp. mancia
MsgDeliveryOrderHistoryTotalPaid,Totale pagato
MsgDeliveryOrderHistoryDurationOut,Durata fuori
MsgDeliveryOrderHistoryOrderStatus,Stato ordine
MsgDeliveryOrderHistoryDriverStatus,Stato autista
BtnDeliveryDriversTillManagement,Gestione cassetto
BtnDeliveryDriversHistoryTotalPayments,Totale pagamenti
BtnDeliveryDriversHistoryOrderTotals,Totale ordine
BtnDeliveryDriversHistoryTipEntry,Mancia
MsgDeliveryDriversCashinOutTitle,Contanti autista in entrata/uscita
MsgDeliveryDriversChooseCashOperationMessage,Seleziona contante in entrata o in uscita ed inserisci importo
BtnDeliveryDriversCashIn,Contante in entrata
BtnDeliveryDriversCashOut,Contante in uscita
MsgDeliveryDriversEnterTotalMileage,Inserisci chilometraggio totale di consegna
MsgDeliveryDriversEnterTotalKilometres,Inserisci chilometraggio totale di consegna
MsgDeliveryDriversConfirmMileage,Conferma il chilometraggio
MsgDeliveryDriversConfirmKilometres,Conferma il chilometraggio
MsgDeliveryDriversConfirmCorrectMileage,"Se è corretto, premi su OK."
MsgDeliveryDriversConfirmIncorrectMileage,"Se è errato, inserisci il chilometraggio corretto."
MsgDeliveryDriversConfirmIncorrectKilometres,"Se è errato, inserisci il chilometraggio corretto."
MsgDeliveryDriversMilesTitle,Miglia
MsgDeliveryDriversKilometresTitle,Chilometri
MsgAdditionalOrdersAreReady,Ordini aggiuntivi sono quasi pronti. Desideri portarli con te?
MsgAdditionalOrdersCurrentOrder,Ordine corrente
MsgAdditionalOrdersOrderID,ID dell’ordine:
MsgAdditionalOrdersReadyForDelivery,Pronto per la consegna
MsgAdditionalOrdersDirections,Direzioni:
MsgAdditionalOrdersReturnDirections,Indicazioni su restituzione
MsgAdditionalOrdersUpcomingOrder,Prossimo ordine numero %d
MsgAdditionalOrdersWaitAndTravelTime,Tempo di attesa:%dmin. Tempo di corsa: %.0f min.
MsgAdditionalOrdersAddToDelivery,Aggiungi alla consegna
MsgAdditionalOrdersRemoveFromDelivery,Rimuovi dalla consegna
MsgAdditionalOrdersDetails,Note
MsgAdditionalOrdersDetailsMany,Note [%d di %d]
MsgAdditionalOrdersItem,Articolo
MsgDeliveryOptimizationNotAvailable,L’ottimizzazione di consegna non è disponibile.
MsgDeliveryOrdersDirectionsTitle,Direzioni
MsgDeliveryOrdersEmailDirectionsTitle,Direzione e-mail
MsgDeliveryOrdersPrintText,Desideri inviare via e-mail o stampare queste direzioni?
MsgDeliveryOrdersDeliveryDirectionTitle,Direzioni di consegna
MsgDeliveryOrdersDirectionFetchFailedOrders,Nessun risultato trovato per il tipo di viaggio selezionato per gli ordini: %@.
MsgDeliveryOrdersDirectionFetchFailed,Nessun risultato trovato per il tipo di viaggio selezionato
BtnDeliverySendOrderAndRouteInfo,Invia info ordine e percorso
MsgDeliveryIncludeRouteDirections,Include indicazioni sul percorso
MsgDeliverySendOrderAndRouteInfoNoEmail,Inserisci indirizzo e-mail per contattare autisti.
MsgDeliverySendOrderAndRouteInfoNoPhoneNo,Inserisci numero di telefono per contattare autisti.
MsgDeliveryChangeDiningOptionClockOut,Non è possibile modificare opzioni ristorazione se l’autista ha già effettuato il check-out.
MsgDeliveryAddressOutsideDeliveryZone,Indirizzo è fuori zona di consegna
MsgDeliveryAddressOutsideDeliveryZoneManagerPinToProceedMessage,%@ indirizzo è fuori zona di consegna. Inserisci manger pin per procedere.
MsgDeliveryAddressGeocodingFailedPinToProceedMessage,"Indirizzo cliente non può essere verificato, controlla la connessione Internet .\nInserisci manager pin per procedere."
MsgDeliveryAddressInvalidErrorMessage,Indirizzo del cliente non è valido.\nDesideri modificarlo?
MsgDeliveryAddressInvalidErrorPleaseEditMessage,L'indirizzo di questo cliente non è valido.\nModifica l'indirizzo.
MsgDeliveryAddressIsNotSet,Indirizzo del cliente non è valido.\nDesideri modificarlo?
MsgDeliveryAddressIsNotSetPleaseSet,L'indirizzo di questo cliente non è valido.\nModifica l'indirizzo.
MsgDeliveryPinOptionsShow,Mostra opzioni segnamappa
MsgDeliveryPinOptionsClose,Chiudi opzioni segnamappa
MsgDeliveryManagementNoAccessPermissions,Bisogna impostare permessi per consentire all’utente di accedere funzione di gestione consegne.
MsgDeliveryManagementInvalidSettingKeys,Mappe Google non impostate. Per assistenza contatta supporto.
MsgDeliveryAmountDueShort,Importo dovuto
MsgDeliveryCloseOpenOrders,Chiudi ordini aperti?
MsgDeliveryCloseUppaidOrdersToCash,Chiudi ordini non pagati?
MsgDeliveryTillsCashDrop,Gestione cassa – depositi in contanti
MsgDeliveryOpenUnpaidOrderRemaining,Ordini aperti / Non pagati restanti
MsgDeliveryOpenUnpaidOrderRemainingMessage,Esistono ordini aperti e non pagati.\n Aprire questi ordini e inviare i pagamenti.
MsgDeliveryOutstandingTips,Mance straordinarie
MsgDeliveryOutstandingTipsMessage,Mance del turno non inserite.\nInserisci le mance ora?? (Verrai direzionato all’elaborazione delle mance)
BtnDeliveryEnterTips,Inserire mance
BtnDeliveryDriverEndShift,Termina turno
MsgSalesSummaryDeliveryDriverShiftReport,Rapporto turno autista-consegna
BtnDeliveryDriverRunSalesReport,Riepilogo vendite
MsgDeliveryFailedToFetchReport,Non è possibile recuperare riepilogo. Controlla connessione di rete e riprova più tardi.
MsgDeliveryDriverHasUnsyncedData,Qualche %@ non è ancora sincronizzato sul server.
