LocaleIdentifier,ET
MsgReceiptlessReturnSummaryPlaceholder,Sisestage põhjus
MsgReceiptlessReturnSummaryReturn,Tagasta %@
MsgReceiptlessReturnReceiptItems,Tagastatud üksused
MsgReceiptlessReturnSpecifyReason,Täpsustage tagastamise põhjus
MsgReceiptlessReturnCashReturnSuccessMessage,Makske kliendile
MsgReceiptlessReturnSuccessAddItemsGiftStoreCredit,"Tagastus töödeldud. Palun lisage tooted, kinkekaart või poekrediit tellimusele."
MsgReceiptlessReturnSuccessAddItemsStoreCredit,Tagastus töödeldud. Palun lisage tooted või poekrediit tellimusele.
MsgReceiptlessReturnSwitchYes,JAH
MsgReceiptlessReturnSwitchNo,EI
MsgReceiptlessReturnSearchingSN,Otsin...
MsgReceiptlessReturnCantFindSN,Inventuuriandmikus ei ole kokkusobiva järjenumbriga toodet.
MsgReceiptlessReturnPurchaseAmountMessage,Tagastamisväärtus ületab ostusummat. Ülejäänud vahendite kasutamiseks lisage artikleid.
MsgWelcomeDemoConfig,Rakendus laadib nüüd demo konfiguratsiooni. Teie kasutaja-PIN saadetakse aadressile %@.
MsgScrOrderPreAuthOrder,Eelautoriseeritud
MsgScrOrderPreAuthOrderDue,PreAuth
MsgScrOrderPreAuthWithAnotherCard,Tellimus on juba eelautoriseeritud Tühistage esmalt praegune eelautoriseering.
MsgScrOrderPreAuthChooseSeat,See tellimus on eelautoriseeritud.\nRakendage eelautoriseeringut ühele kohtadest.
MsgScrOrderPreAuthChooseBill,See tellimus on eelautoriseeritud.\nRakendage eelautoriseeringut ühele arvetest.
MsgScrOrderPreAuthChooseBillTitle,Eelautoriseeritud tellimus
MsgScrOrderPreAuthAmount,Eelautoriseerimise summa
MsgPrePaymentNotSupportedOffline,Eelautoriseerimise teenust ei toetata võrguühenduseta režiimis.
MsgPrePaymentProcessorNotSupported,Krediitkaardi töötleja ei toeta eelautoriseeritud tehinguid.
MsgBatchPreAuthOrderShouldBeFinalized,Makset ei saa lõpetamata tellimuse tõttu hõivata.\nLõpetage tellimus.
MsgBatchPreAuthOrderProceedCapture,Kas soovite jätkata?
MsgMovePreAuthPaymnet,"Valige, millise eelautoriseeringu soovite alles jätta."
MsgMovePreAuthPaymnetFailedCancel,PreAuth-tehingu tühistamine nurjus\nTellimus nr %@ on endiselt avatud.
MsgPreAuthConfirmCancel,"Kas olete kindel, et soovite tellimuse tühistada?"
MsgPreAuthTableNOEmptyTable,Tühje laudu pole
MskQuickCourseAndSeatEnterCourseCount,Sisestage käikude arv
MskQuickCourseAndSeatEnterSeatCount,Sisestage kohtade arv
MsgQuickCourseAndSeatManual,Manuaalrežiim
MsgDeliveryConsoleOrderQueueTitle,Kohaletoimetamise konsool – tellimuste järjekorravaade
MsgDeliveryConsoleMapViewTitle,Kohaletoimetamise konsool – kaardivaade
MsgDeliveryConsoleDriversViewTitle,Kohaletoimetamise konsool – juhivaade
MsgDeliveryConsoleOrderHistoryViewTitle,Kohaletoimetamise konsool – tellimuste järjekorraajaloo vaade
MsgDeliveryConsoleDriverHistoryViewTitle,Kohaletoimetamise konsool – juhiajaloo vaade
MsgDeliveryConsoleDriverExpandedMapViewTitle,Kohaletoimetamise konsool – laiendatud kaardivaade
MsgDeliveryCouldNotResolveHomeLocation,Kassajaama asukohta ei saanud lahendada. Kontrollige tagaseadetes oma asutuse aadressi.
MsgDeliveryTimeSinceOrdered,Aeg alates\ntellimisest
MsgDeliveryStatus,Juhi olek
MsgDeliveryOrderDeliveryStatusReady,Valmis
MsgDeliveryOrderDeliveryStatusCooking,Valmimas
MsgDeliveryOrderDeliveryStatusAssigned,Määratud
MsgDeliveryOrderDeliveryStatusEnroute,Teel
MsgDeliveryOrderDeliveryStatusRequested,Taotletud
MsgDeliveryOrderDeliveryStatusAccepted,Heaks kiidetud
MsgDeliveryOrderDeliveryStatusInTransit,Teel
MsgDeliveryOrderDeliveryStatusUnassigned,Määramata
MsgDeliveryOrderDeliveryStatusDelivered,Kätte toimetatud
MsgDeliveryOrderDeliveryStatusReturning,On praegu naasmas
MsgDeliveryOrderDeliveryStatusReturned,Tagastatud
MsgDeliveryOrderDeliveryStatusUnableToReturn,Ei saa tagastada\n
MsgDeliveryOrderDeliveryStatusUnableToDeliver,Kohaletoimetamine pole\n võimalik
MsgDeliveryOrderDeliveryStatusUnknown,Teadmata
MsgDeliveryOrderDeliveryEstimatedDelivery,Hinnanguline kättetoimetamise aeg:
MsgDeliveryOrderUnpaidTitle,Tasumata
MsgDeliveryMinutesShort,Min
MsgDeliveryHourShort,Tund
MsgDeliverySeeAllOrders,Kuva kõik tellimused
MsgDeliveryPinsShowTitle,Pin-koodide vaade
MsgDeliveryMapReadytime,Valmimisaeg
MsgDeliveryMapDistance,Vahemaa
MsgDeliveryMapWorkLocationTitle,Töökoht
MsgDeliveryMapTotalRouteTime,Marsruudi koguaeg:
MsgDeliveryMapLinks,Kaardilingid
MsgDeliveryAssignSelectedOrders,Määra valitud tellimused
MsgDeliveryMapMarkerReadyToGo,Minekuks valmis
MsgDeliveryMapMarkerNotYetReady,Pole veel valmis
MsgDeliveryMapMarkerReadyIn,Valmib: %@
MsgDeliveryMapSuggestedOrders,Soovitatud tellimused
MsgDeliveryMapSeeDeliveryZone,Kuva kättetoimetuspiirkond
MsgDeliveryMapButtonOptionOn,Sees
MsgDeliveryMapButtonOptionOff,Väljas
MsgDeliverySelectDriverTitle,Valige juht
MsgDeliveryDeliveryDriversTitle,Kohaletoimetav autojuht:
BtnDeliveryAssignDriver,Määra
BtnDeliveryUnassignDriver,Tühista määramine
BtnDeliveryOrderHistory,Tellimuste ajalugu
BtnDeliveryOrderMap,Kaart
BtnDeliveryOrderQueue,Tellimuste järjekord
BtnDeliveryOrderDrivers,Juhid
BtnDeliveryOrderDriverHistory,Juhiajalugu
MsgDeliveryOrderDetailsAddresses,Aadressid
BtnDeliveryBackToOrderQueue,Tagasi tellimuse järjekorda
BtnDeliveryBackToDriversView,Tagasi juhtide vaatesse
MsgDeliveryOrderWhichOrderDetailsWantToSee,Millise tellimuse üksikasju soovite näha?
MsgDeliveryOrderDetailsOrderInformation,Tellimuse teave
MsgDeliveryOrderDetailsRouteDirections,Marsruudisuunised
MsgDeliveryOrderDetailsReturnDirections,Naasmissuunised
MsgDeliveryOrderDetailCustomerNameColon,Klient Nimi:
MsgDeliveryOrderDetailPhoneHashColon,Telefoninr:
MsgDeliveryOrderDetailDriverAssignedColon,Määratud juht:
MsgDeliveryOrderDetailEstimatedDeliveryTimeColon,Hinn. kohaletoimetamise aeg:
MsgDeliveryOrderDetailUnnasignOnlyOwnOrdersWarningMessage,Saate tühistada määramisi ainult endale määratud tellimuste puhul. Tellimuste määramisi saab tühistada ainult haldur.
MsgDeliveryOrderDetailAssignOrderToYourselfWarningMessage,Saate määrata tellimusi ainult iseendale. Teistele töötajatele saab määrata ainult haldur.
MsgDeliveryDriversDriver,Juht
MsgDeliveryDriversTimeInOut,Aeg peale/maha
MsgDeliveryDriversExpectedReturn,Eeldatav naasmine
BtnDeliveryDriversOrdersAssigned,Kinnistatud tellimused
BtnDeliveryDriversShowClockedInDriversOnly,Kuva üksnes tööle registreerunud juhid
BtnDeliveryDriversShowAllDrivers,Kuva kõik juhid
MsgDeliveryDriversTimeOut,Väljas
MsgDeliveryDriversTimeIdle,Ootel
MsgDeliveryDriverCheckOut,Lahkumine
MsgDeliveryDriverReturningNow,On praegu naasmas
MsgDeliveryOrderHistoryTenderType,Makseviisi tüüp
MsgDeliveryOrderHistoryCardInfo,Krediitkaardi nr / kaardi tüüp / kinkekaardi nr
MsgDeliveryOrderHistoryCardInfoShort,Meili koopia#/Kink#
MsgDeliveryOrderHistoryPaymentAmountShort,Makse summa
MsgDeliveryOrderHistoryTipAmountShort,Jootraha summa
MsgDeliveryOrderHistoryTotalPaid,Kokku tasutud
MsgDeliveryOrderHistoryDurationOut,Väljasoleku kestvus
MsgDeliveryOrderHistoryOrderStatus,Tellimuse olek
MsgDeliveryOrderHistoryDriverStatus,Juhi olek
BtnDeliveryDriversTillManagement,Kassasahtli haldus
BtnDeliveryDriversHistoryTotalPayments,Makseid kokku
BtnDeliveryDriversHistoryOrderTotals,Tellimuse kogusumma
BtnDeliveryDriversHistoryTipEntry,Jootraha sisestamine
MsgDeliveryDriversCashinOutTitle,Juhi sularaha sisse/välja
MsgDeliveryDriversChooseCashOperationMessage,Valige Sularaha sisse või Sularaha välja ja sisestage summa
BtnDeliveryDriversCashIn,Sularaha sisse
BtnDeliveryDriversCashOut,Sularaha välja
MsgDeliveryDriversEnterTotalMileage,Sisestage kohaletoimetamise koguläbisõit
MsgDeliveryDriversEnterTotalKilometres,Sisestage kättetoimetamise kogukilometraaž
MsgDeliveryDriversConfirmMileage,Kinnitage läbisõit
MsgDeliveryDriversConfirmKilometres,Kinnitage kilometraaž
MsgDeliveryDriversConfirmCorrectMileage,"Kui see on õige, toksake nuppu OK."
MsgDeliveryDriversConfirmIncorrectMileage,"Kui see on vale, sisestage õige läbisõit."
MsgDeliveryDriversConfirmIncorrectKilometres,"Kui see pole õige, sisestage õige kilometraaž."
MsgDeliveryDriversMilesTitle,Läbisõit
MsgDeliveryDriversKilometresTitle,Kilometraaž
MsgAdditionalOrdersAreReady,Lisatellimused on peaaegu valmis. Kas soovite need kaasa võtta?
MsgAdditionalOrdersCurrentOrder,Praegune tellimuse
MsgAdditionalOrdersOrderID,Tellimuse ID:
MsgAdditionalOrdersReadyForDelivery,Valmis kohaletoimetamiseks
MsgAdditionalOrdersDirections,Suunised:
MsgAdditionalOrdersReturnDirections,Naasmissuunised
MsgAdditionalOrdersUpcomingOrder,Eelolev tellimus nr %d
MsgAdditionalOrdersWaitAndTravelTime,Ooteaeg: %d min. Sõiduaeg: %.0f min.
MsgAdditionalOrdersAddToDelivery,Lisa kohaletoimetusse
MsgAdditionalOrdersRemoveFromDelivery,Eemalda kohaletoimetamisest
MsgAdditionalOrdersDetails,Tellimuse üksikasjad
MsgAdditionalOrdersDetailsMany,Tellimuse üksikasjad [%d/%d]
MsgAdditionalOrdersItem,Üksus
MsgDeliveryOptimizationNotAvailable,Kohaletoimetamise optimeerimine pole saadaval.
MsgDeliveryOrdersDirectionsTitle,Suunised
MsgDeliveryOrdersEmailDirectionsTitle,Suunised e-posti teel
MsgDeliveryOrdersPrintText,Kas soovite need suunised saata e-posti teel või välja printida?
MsgDeliveryOrdersDeliveryDirectionTitle,Kohaletoimetamise suunised
MsgDeliveryOrdersDirectionFetchFailedOrders,Valitud liikumistüüpi kasutades ei leitud tulemeid tellimustele: %@.
MsgDeliveryOrdersDirectionFetchFailed,Valitud liikumistüüpi kasutades ei leitud tulemeid
BtnDeliverySendOrderAndRouteInfo,Saada teave tellimuse ja marsruudi kohta
MsgDeliveryIncludeRouteDirections,Lisa marsruudi juhised
MsgDeliverySendOrderAndRouteInfoNoEmail,Juhtidele meili saatmiseks on nõutav meiliaadress.
MsgDeliverySendOrderAndRouteInfoNoPhoneNo,Juhile sõnumi saatmiseks on nõutav telefoninumber.
MsgDeliveryChangeDiningOptionClockOut,"Einetamiskoha suvandit ei saa muuta, kui kättetoimetav autojuht on juba välja registreerinud."
MsgDeliveryAddressOutsideDeliveryZone,Aadress on väljaspool kättetoimetamispiirkonda
MsgDeliveryAddressOutsideDeliveryZoneManagerPinToProceedMessage,%@ aadress on väljaspool kättetoimetamispiirkonda. Jätkamiseks sisestage juhataja tunnuskood.
MsgDeliveryAddressGeocodingFailedPinToProceedMessage,"Tellija aadressi ei saa kinnitada, kontrollige internetiühenduse toimimist.\nKui soovite jätkata, sisestage juhataja tunnuskood."
MsgDeliveryAddressInvalidErrorMessage,See tellija aadress on kehtetu.\nKas soovite aadressi redigeerida?
MsgDeliveryAddressInvalidErrorPleaseEditMessage,See tellija aadress on kehtetu.\nRedigeerige aadressi.
MsgDeliveryAddressIsNotSet,See tellija aadress on kehtetu.\nKas soovite aadressi redigeerida?
MsgDeliveryAddressIsNotSetPleaseSet,See tellija aadress on kehtetu.\nRedigeerige aadressi.
MsgDeliveryPinOptionsShow,Kuva pin-koodi suvandid
MsgDeliveryPinOptionsClose,Sulge pin-koodi suvandid
MsgDeliveryManagementNoAccessPermissions,"Kasutajale tuleb määrata load, et ta pääseks ligi Tarnehalduse funktsioonile."
MsgDeliveryManagementInvalidSettingKeys,Rakenduse Google Maps klahvid ei ole installitud. Võtke ühendust klienditoega.
MsgDeliveryAmountDueShort,Tähtaegunud võlasumma
MsgDeliveryCloseOpenOrders,Sulge täitmata tellimused?
MsgDeliveryCloseUppaidOrdersToCash,Kas sulgete tasumata tellimused kassajääki?
MsgDeliveryTillsCashDrop,Kassasahtli haldus – kassajäägi langus
MsgDeliveryOpenUnpaidOrderRemaining,Teised täitmata / tasumata tellimused
MsgDeliveryOpenUnpaidOrderRemainingMessage,"Eksisteerivad tellimused, mis on endiselt täitmata ja ka tasumata.\n Avage need tellimused ja esitage maksed."
MsgDeliveryOutstandingTips,Tasumata jootraha
MsgDeliveryOutstandingTipsMessage,Te ei ole sisestanud oma vahetuse kohta kogu jootraha.\nKas sisestate jootraha nüüd? (Teid viiakse Jootraha töötlusesse).
BtnDeliveryEnterTips,Sisesta jootraha
BtnDeliveryDriverEndShift,Lõpeta vahetus
MsgSalesSummaryDeliveryDriverShiftReport,Kättetoimetamine Autojuht Vahetus Aruanne
BtnDeliveryDriverRunSalesReport,Ava müügiaruanne
MsgDeliveryFailedToFetchReport,Aruande hankimine ebaõnnestus. Kontrollige internetiühenduse toimimist ja proovige hiljem uuesti.
MsgDeliveryDriverHasUnsyncedData,Mõned teie %@ ei ole serveriga sünkroonitud.
MsgDeliveryDriverHasUnsyncedDataProceedMessage,Sellel võib mõjutada suuresti müügiaruannet. Kas soovite oodata või käitada siiski aruande?
MsgDeliveryTillsOperations,Kassasahtli toimingud
MsgDeliveryDriverNotClockedIn,Juht ei ole töölesaabumist registreerinud
MsgDeliveryVirtualTillsFailedToReceive,"Kassasahtlite hankimine peamisest iPadist ebaõnnestus. Veenduge, et peamine iPad on juurdepääsetav ja et teil on toimiv internetiühendus."
MsgDeliveryEndShiftProcedureFailedToReceiveData,"Andmete hankimine peamisest iPadist ebaõnnestus. Veenduge, et peamine iPad on juurdepääsetav ja et teil on toimiv internetiühendus."
MsgDeliverySearchBarPlaceholder,"Tellimuse IDd, Tellija nimed"
MsgDeliveryDriverCheckedOut,Kirjutas välja
MsgDeliveryDriverCheckedIn,Kirjutas sisse
MsgDeliveryOrderDetailsTransportDrive,Sõit
MsgDeliveryOrderDetailsTransportWalk,Jalgsi
MsgDeliveryOrderDetailsTransportBike,Rattaga
MsgDeliveryMapMultipleOrderSelectionTitle,Valige tellimused kättetoimetamiseks selles asukohas
MsgDeliveryOrderCannotBeAutomaticallyClosed,Tellimusel on jagatud arved ja seda ei saa automaatselt lõpetada
MsgDeliveryOrdersCannotBeAutomaticallyClosed,Tellimus(t)el %@ on jagatud arved ja seda (neid) ei saa automaatselt lõpetada
MsgScrOrderSetTillNotSetToCloseOrdersToCash,Kassasahtel peab olema seatud sulgema tellimusi kassajääki.
MsgDeliveryShowCheckedOutDriversOnly,Kuva üksnes tööle registreerunud juhid
MsgDeliveryShowAllDrivers,Kuva kõik juhid
BtnCustomDeliverySettings,Kättetoimetamise suvandid
MsgCustomDeliveryAutoAssignToDeliveryService,Auto-määra UberRUSH
MsgCustomDeliveryAutoAssign,Auto\nMääramine?
MsgCustomDeliveryOrderShouldBePaid,UberRUSHiga kohaletoimetamise tellimuse %@ eest tuleks tasuda täies mahus
MsgCustomDeliveryWaitingForStatus,Ootan UberRUSHiga kohaletoimetuse seisu
MsgCustomDeliveryWaitingForQuote,Ootan hinnapakkumust UberRUSHiga kohaletoimetusele
BtnOverrideAndAssign,Tühista ja määra tellimus
MsgCustomDeliveryRetrievingAccessToken,Hangin UberRUSHi juurdepääsuluba...
MsgCustomDeliveryWaitingForCancellation,Jootraha valimise ootel
MsgCustomDeliveryWaitingForDeliveryResponse,LoyalTree vastuse ootel...
MsgCustomDeliveryCancellation,Kohaletoimetamise suunised
MsgCustomDeliveryDoYouWantToCancelDelivery,Kas soovite selle kassasahtli ümber jaotada?
MsgCustomDeliveryUnableToRetrieveAccessToken,UberRUSHi juurdepääsuluba ei õnnestu hankida
MsgCustomDelivery,Kohaletoimetamine
MsgCustomDeliveryLargeQuoteTitle,Suur UberRUSH väljavõte
MsgCustomDeliveryQuoteExceededTitle,UberRUSH summalimiit ületatud
MsgCustomDeliveryLargeQuote,"Selle tellimuse kättetoimetamise summa on %@, mis ületab %@. \n\nSa võid selle tellimuse teostada või tühistada."
MsgCustomDeliveryQuoteExceeded,"Selle tellimuse summa on %@, mis on ületanud selle kaupmehe UberRUSHi limiidi summas %@. \n\nLimiiti saab muuta läbi juhataja konsooli."
MsgCustomDeliveryDriverInfoHeader,%@ juhi andmed - tellimus %@
MsgCustomDeliveryViewDriverInfo,Kuva Uberi juhi andmed
MsgCustomDeliveryOrderAlreadyAccepted,UberRUSHi juht on selle tellimuse juba vastu võtnud. Selle väljaveo tühistamine võib siiski tuua kaasa kulutusi kaupmehele.
MsgCustomDeliveryQuoteFee,UberRUSHi summa tasu
MsgCustomDeliveryService,Kohaletoimetamine – veebiarve
MsgCustomDeliveryServiceFee,Teenustasu
MsgCustomDeliveryAssign,Määra
MsgCustomSettingsManual,Manuaalrežiim
BtnCustomSettingsSaveClose,Salvesta ja sulge
MsgCustomDeliveryUberDriverInfo,Nimi: \nTelefoninumber: \nMark/mudel:\nNumbrimärk#:
MsgCustomDeliveryUberPickupRejection,Uberiga kohaletoimetamisest keeldumine
MsgCustomDeliveryUberPickupWasRejected,"Teie eelnevalt aktsepteeritud kohaletoimetustaotlus lükati UberRUSHi sohvri poolt tagasi. Palun oodake uut juhti, kes nõustuks teie kohaletoimetustaotlusega."
MsgCustomDeliveryPostmatesDriverInfo,Nimi: \nTelefoninumber: \nMark/mudel:\nNumbrimärk#:
MsgEditModeEditItemMode,Halda üksuserežiimi
MsgEditModeDescription,Kirjeldus
MsgEditModeDescriptionShort,Laskuv järjestus
MsgEditModeSKU,Laoühik
MsgEditModeBin,Korv
MsgEditModeUOM,Mõõtühik
MsgEditModePriceEmbedded,Hind on lisatud
MsgEditModePrintLabels,Prindi etiketid
MsgEditModeCategory,KATEG.
MsgEditModeSubcategory,Alamkategooria
MsgEditModeSubcat,ALAMKATEG.
MsgEditModeBalance,Saldo
MsgEditModePrintersKDS,Printerid
MsgEditModeSelectPrinterKDS,Valige printer
MsgEditModeSearchPrinterKDS,Valige printer
MsgEditModeComboWarning,Selles kombinatsioonis sisalduvaid üksusi tuleb eraldi hallata.
MsgEditModeServiceItemWarning,Teenustel ei saa olla ladu
MsgEditModeAdminClassItemWarning,Administraatoriklassiga üksuse laoseisu ei saa käsitleda
MsgEditModeOutOfBalance,Kogus on tasakaalust väljas.
BtnEditModeInStock,Laos
BtnEditModeOutOfStock,Pole laos
BtnEditModeLowStock,Määra ladu
MsgEditModeAddProduct,Lisa toode
MsgEditModeAddCategory,Lisa kategooria
MsgEditModeAddSubCat,Lisa alamkat.
MsgEditModeSaveSuccessful,Salvestamine õnnestus
MsgEditModeOnceYouHaveFinished,"Kui olete lõpetanud, värskendage muudatus(t)e levitamiseks teisi jaamu"
MsgEditModeInvalidBarcode,Vöötkoodi pikkus peaks olema 4 ja 16 täheruumi vahel
MsgEditModeSaveFailed,Salvestamine nurjus
MsgEditModeSaveImageOnBeFailed,Teie foto serverisse üleslaadimisega on probleeme.\nKujutist ei uuendatud.
MsgEditModeNewProduct,Uus toode
MsgEditModePleaseSelectProductClass,Valige tooteklass
MsgEditModePleaseSelectCategory,Valige klient.
MsgEditModePleaseSelectCategoryAtFirst,Valige jaam
MsgEditModePleaseSelectSubcategory,Valige jaam
MsgEditModeSelectProductClass,Valige tooteklass
MsgEditModeSelectCategory,Valige kategooria
MsgEditModeSelectSubcategory,Valige alamkategooria
MsgEditModeNothingToSelect,Mida pole valida
MsgEditModeIssuesToRetriveProductClasses,Tooteklasside toomisel tagaserverist ilmnes võrgutõrkeid
MsgEditModePleaseSelectaParentProduct,Valige põhitoode
MsgEditModeMatrixOptions,Mudelivalikud
MsgEditModeCreateNewParentProduct,Loo uus põhitoode
MsgEditModeParentProduct,Põhitoode
MsgEditModeNewParent,+ Uus põhitoode
MsgEditModeParent,Põhitoode
MsgEditModeChild,Alamtoode
MsgEditModeProductNameOrBarcode,Toote nimi või vöötkood
MsgEditModeSelectaClass,Valige klass
MsgEditMode1stAttributeSet,1. atribuudikomplekt
MsgEditMode2ndAttributeSet,2. atribuudikomplekt
MsgEditModePleaseSelect,Valige
MsgEditModeOptional,Valikuline
MsgEditModeProductExists,Selle atribuudikomplektiga toode on juba olemas.
MsgEditModeNewParentProductSaving,Uue põhitoote salvestamine
MsgEditModeNewParentProductSaved,Uus põhitoode on edukalt salvestatud
MsgEditModeRemoveClass,Eemalda klass
MsgEditModeTrackInInventory,Jälgi laoseisu
MsgEditModeDragModeIsEnabled,Lohistusrežiim on lubatud
MsgEditModeSomeItemsHaveBeenRearranged,Mõned üksused on ümber korraldatud. Kas salvestada enne jätkamist muudatused?
MsgEditModeTapAndDragItemsToRearrangeThem,Üksuste ümberkorraldamiseks toksake ja lohistage neid.
MsgEditModePleaseWaitSavingMayTakeAFewMoments,Palun oodake. Salvestamine võib mõni hetk aega võtta.
MsgEditModeProductsWithAdditionalCategories,Lohistusrežiim ei toeta lisakategooriatega tooteid
MsgEditModeDragModeNotApplicable,Liiga palju üksuseid - lohistusrežiim ei ole kohaldatav
MsgEditModeItemsReorderingSaveFailed,Üksuste ümberkorraldamise salvestamine nurjus. Proovige uuesti või võtke ühendust klienditoega
MsgEditModeFullMenuHasNotBeenReadyYet,Täismenüü pole veel valmis. Avage üksuste haldamisrežiim 30 sekundi jooksul uuesti
MsgTheTargetObjectIsLocked,Sihtobjekt on lukus.
MsgRefreshApplicationForCustomMenu,Kohandatud menüüsse lisatud toodete nägemiseks värskendage tarkvararakendust.
MsgEditModeSearchForProductToManage,Puudutage toodet
MsgEditModeEnterInfoBelow,Näidisrakenduse käivitamiseks sisestage oma andmed.
MsgEditCreateNewProduct,Loo uus põhitoode
MsgSpecifiedProductOutOfStock,Toode %@ on läbi müüdud.
MsgProductsFromComboOutOfStock,Järgmisi tooteid pole laos:
MsgProductProceed,Lisa sellegipoolest
MsgWarningOnSendPayHold,Teie tellimuses on üksusi alla laoseisu. Kas soovite toimingu tühistada ja tellimust kohandada?
BtnAdjustTheOrder,Kohanda tellimust
BtnProceedAnyway,Jätka sellegipoolest
BtnContinueAnyway,Jätka sellegipoolest
MsgCopyAddOutOfStockMessage,Laos pole piisavalt tooteid. Kui jätkate
MsgCommissionTitle,Eralda vahendustasu
BtnCommissionAddEmployee,Lisa töötaja
MsgCommissionAmountTitle,Kokku vahendustasu %@
MsgCommissionItemTitle,Üksus: %@
MsgCommissionReassignUserConfirm,Kas soovite määrata vahendustasud kogu tellimusele?
MsgCommissionEnterPercent,Sisestage %
MsgCommissionFixAllocatedCommission,Parandage eraldatud vahendustasu
MsgCommissionEnterAmmount,Sisestage vahendustasu summa
MsgTableTimersTitle,%@ tellimuse nr %@ ajaloendurid
MsgTableTimersCustomerNotes,Kliendi märkused
MsgTableTimersTableNotes,Märkused
MsgTableTimersStatusAvailable,Saadaval
MsgTableTimersStatusHeld,Ootel
MsgTableTimersStatusHeldStale,Ootel (aegunud)
MsgTableTimersStatusActive,Aktiivne
MsgTableTimersStatusActiveStale,Aktiivne (aegunud)
MsgTableTimersStatusPaid,Tasutud
MsgTableTimersStatusPaidStale,Tasutud (aegunud)
MsgTableTimersStatus,Olek
MsgTableTimersEmployee,Töötaja
MsgTableTimersOrderTotal,Tellimus kokku
MsgTableTimersInvoiceTotal,Arve kokku
MsgTableTimersCurrentCourse,Praegune käik
MsgTableTimersSeatCount,Kohtade arv
MsgTableTimersTimeSinceSeated,Aeg alates laudaistumisest
MsgTableTimersTimeSinceFirstSent,Aeg alates 1. tellimuse saatmisest
