LocaleIdentifier,SP
MsgPriceCheckerPlaceholder,Introduzca termino de busqueda
MsgPriceCheckerNotFound,Producto no encontrado
MsgEmailSendConfirmTitle,Confirmación de correo electrónico
MsgEmailSendConfirmMessage,Su recibo se enviará a la siguiente dirección de correo electrónico:
BtnEmailSendConfirmChangeEmail,Cambiar correo electrónico
MsgReceiptlessReturnsReturns,Devoluciones
MsgReceiptlessReturnsItemsHeader,Devolución sin recibo
MsgReceiptlessReturnsItemReturnedItems,Artículo(s) devueltos
MsgReceiptlessReturnsItemQty,Cant.
MsgReceiptlessReturnsItemInventory,Inventario
MsgReceiptlessReturnsItemReturn,Elimina
MsgReceiptlessReturnsItemSearchPlaceholder,Inventario
MsgReceiptlessReturnsItemTax,Impuesto
MsgReceiptlessReturnSummaryHeader,Resumen de devolución
MsgReceiptlessReturnSummaryAttachCustomer,Adjuntar \nCliente
MsgReceiptlessReturnSummaryPrice,Precio
MsgReceiptlessReturnSummaryTotal,Total:
MsgReceiptlessReturnSummaryCash,Efectivo
MsgReceiptlessReturnSummaryStoreCredit,Credito
MsgReceiptlessReturnSummaryPriceReturn,Devolucion
MsgReceiptlessReturnSummarySetTenderType,Tipo de oferta:
MsgReceiptlessReturnSummaryCustomer,Cliente:
MsgReceiptlessReturnSummaryPlaceholder,Ingrese la Razon
MsgReceiptlessReturnSummaryReturn,Devolver %@
MsgReceiptlessReturnReceiptItems,Artículos devueltos
MsgReceiptlessReturnSpecifyReason,Especificar razón para devolución
MsgReceiptlessReturnCashReturnSuccessMessage,Por favor paga al cliente
MsgReceiptlessReturnSuccessAddItemsStoreCredit,Producto cambiado. Favor ingresar un nuevo producto a esta orden.
MsgReceiptlessReturnSwitchYes,Sí
MsgReceiptlessReturnSwitchNo,NO
MsgReceiptlessReturnSearchingSN,Buscando…
MsgReceiptlessReturnCantFindSN,No hay producto que coincide con número de serie en el inventario.
MsgReceiptlessReturnPurchaseAmountMessage,Valor de devolución excede importe de compra. Por favor añade artículos para usar fondos restantes.
MsgWelcomeDemoConfig,La aplicación cargará ahora la configuración de demostración. Su NIP de usuario será enviado a %@.
MsgScrOrderPreAuthOrder,Preautorizado
MsgScrOrderPreAuthOrderDue,PreAuth
MsgScrOrderPreAuthWithAnotherCard,El pedido ya está preautorizado. Primero cancele la preautorización actual.
MsgScrOrderPreAuthChooseSeat,Este pedido está preautorizado.\nAplique la preautorización a uno de los asientos.
MsgScrOrderPreAuthChooseBill,Este pedido está preautorizado.\nAplique la preautorización a una de las cuentas.
MsgScrOrderPreAuthChooseBillTitle,Pedido preautorizado
MsgScrOrderPreAuthAmount,Monto preautorizado
MsgPrePaymentNotSupportedOffline,El servicio de preautorización no es compatible con el modo sin conexión.
MsgPrePaymentProcessorNotSupported,El procesador de tarjetas de crédito no es compatible con las transacciones preautorizadas.
MsgBatchPreAuthOrderShouldBeFinalized,No puede capturarse el pago debido al pedido no finalizado.\\Finalice el pedido.
MsgBatchPreAuthOrderProceedCapture,¿Desea continuar?
MsgMovePreAuthPaymnet,Elija la preautorización que desea conservar.
MsgMovePreAuthPaymnetFailedCancel,Error al cancelar la transacción de PreAuth\n El pedido #%@ aún está abierto.
MsgPreAuthConfirmCancel,¿Estás seguro que quieres cancelar el pedido?
MsgPreAuthTableNOEmptyTable,No hay mesas vacías
MskQuickCourseAndSeatEnterCourseCount,Ingrese recuento de platos
MskQuickCourseAndSeatEnterSeatCount,Ingrese recuento de asientos
MsgQuickCourseAndSeatManual,Manual
MsgDeliveryConsoleOrderQueueTitle,Consola de entregas - Vista de cola de pedidos
MsgDeliveryConsoleMapViewTitle,Consola de entregas - Vista de mapa
MsgDeliveryConsoleDriversViewTitle,Consola de entregas - Vista de conductores
MsgDeliveryConsoleOrderHistoryViewTitle,Consola de entregas - Vista de historial de cola de pedidos
MsgDeliveryConsoleDriverHistoryViewTitle,Consola de entregas - Vista de historial de conductor
MsgDeliveryConsoleDriverExpandedMapViewTitle,Consola de entregas - Vista de mapa expandido
MsgDeliveryCouldNotResolveHomeLocation,No pudo resolverse la ubicación del POS. Revise la dirección de su establecimiento en la configuración del servidor.
MsgDeliveryTimeSinceOrdered,Tiempo desde\nel pedido
MsgDeliveryStatus,Estatus de chofer
MsgDeliveryOrderDeliveryStatusReady,Listo
MsgDeliveryOrderDeliveryStatusCooking,Cocinando
MsgDeliveryOrderDeliveryStatusAssigned,Asignado
MsgDeliveryOrderDeliveryStatusEnroute,En ruta
MsgDeliveryOrderDeliveryStatusRequested,Solicitado
MsgDeliveryOrderDeliveryStatusAccepted,Aceptado
MsgDeliveryOrderDeliveryStatusInTransit,En tránsito
MsgDeliveryOrderDeliveryStatusUnassigned,No asignado
MsgDeliveryOrderDeliveryStatusDelivered,Entregado
MsgDeliveryOrderDeliveryStatusReturning,Regresando en este momento
MsgDeliveryOrderDeliveryStatusReturned,Devuelto
MsgDeliveryOrderDeliveryStatusUnableToReturn,Artículo(s) para Devolver
MsgDeliveryOrderDeliveryStatusUnknown,Ignorado
MsgDeliveryOrderDeliveryEstimatedDelivery,Entrega Estimada
MsgDeliveryOrderUnpaidTitle,No pagado
MsgDeliveryMinutesShort,Min.
MsgDeliveryHourShort,Hora
MsgDeliverySeeAllOrders,Ver todos los pedidos
MsgDeliveryPinsShowTitle,Mostrar Pins
MsgDeliveryMapReadytime,Tiempo de preparación
MsgDeliveryMapDistance,Distancia
MsgDeliveryMapWorkLocationTitle,Trabajo
MsgDeliveryMapTotalRouteTime,Tiempo total de la ruta:
MsgDeliveryMapLinks,Enlaces al mapa
MsgDeliveryAssignSelectedOrders,Asignar pedidos seleccionados
MsgDeliveryMapMarkerReadyToGo,Listo para salir
MsgDeliveryMapMarkerNotYetReady,No listo aún
MsgDeliveryMapMarkerReadyIn,Preparado en %@
MsgDeliveryMapSuggestedOrders,Pedidos sugeridos
MsgDeliveryMapSeeDeliveryZone,Ver Zona de entrega
MsgDeliveryMapButtonOptionOn,ACTIVADO
MsgDeliveryMapButtonOptionOff,DESACTIVADO
MsgDeliverySelectDriverTitle,Seleccione un conductor
MsgDeliveryDeliveryDriversTitle,Conductor de reparto:
BtnDeliveryAssignDriver,Asignar
BtnDeliveryUnassignDriver,Cancelar asignación
BtnDeliveryOrderHistory,Historial de pedidos
BtnDeliveryOrderMap,Mapa
BtnDeliveryOrderQueue,Cola de pedidos
BtnDeliveryOrderDrivers,Conductores
BtnDeliveryOrderDriverHistory,Historial del conductor
MsgDeliveryOrderDetailsAddresses,Direcciones
BtnDeliveryBackToOrderQueue,Volver a fila de pedido
BtnDeliveryBackToDriversView,Volver a la vista de choferes 
MsgDeliveryOrderWhichOrderDetailsWantToSee,¿Qué detalles del pedido desea ver?
MsgDeliveryOrderDetailsOrderInformation,Información del pedido
MsgDeliveryOrderDetailsRouteDirections,Indicaciones de ruta
MsgDeliveryOrderDetailsReturnDirections,Indicaciones para el regreso
MsgDeliveryOrderDetailCustomerNameColon,Cliente Nombre:
MsgDeliveryOrderDetailPhoneHashColon,Núm. de teléfono:
MsgDeliveryOrderDetailDriverAssignedColon,Conductor asignado:
MsgDeliveryOrderDetailEstimatedDeliveryTimeColon,Est. Tiempo de entrega:
MsgDeliveryOrderDetailUnnasignOnlyOwnOrdersWarningMessage,Sólo puede cancelar la asignación de pedidos asignados a usted. Sólo un gerente puede cancelar la asignación de cualquier pedido.
MsgDeliveryOrderDetailAssignOrderToYourselfWarningMessage,Sólo puede asignarse pedidos a usted mismo. Sólo un gerente puede asignar a otros empleados.
MsgDeliveryDriversDriver,Conductor
MsgDeliveryDriversTimeInOut,Hora de llegada / salida
MsgDeliveryDriversExpectedReturn,Hora de regreso esperada
BtnDeliveryDriversOrdersAssigned,Pedidos asignados
BtnDeliveryDriversShowClockedInDriversOnly,Mostrar solo choferes registrados
BtnDeliveryDriversShowAllDrivers,Mostrar todos choferes
MsgDeliveryDriversTimeOut,Fuera
MsgDeliveryDriversTimeIdle,En espera
MsgDeliveryDriverCheckOut,Registro de salida
MsgDeliveryDriverReturningNow,Regresando en este momento
MsgDeliveryOrderHistoryTenderType,Tipo de pago
MsgDeliveryOrderHistoryCardInfo,No.CC/Tipo de tarjeta/No.Regalo
MsgDeliveryOrderHistoryCardInfoShort,CC#Regalo#
MsgDeliveryOrderHistoryPaymentAmountShort,Imp. de pago
MsgDeliveryOrderHistoryTipAmountShort,Imp.de propina
MsgDeliveryOrderHistoryTotalPaid,Total pagado
MsgDeliveryOrderHistoryDurationOut,Fin de duración
MsgDeliveryOrderHistoryOrderStatus,Estatus de pedido
MsgDeliveryOrderHistoryDriverStatus,Estatus de chofer
BtnDeliveryDriversTillManagement,Gestión de gaveta
BtnDeliveryDriversHistoryTotalPayments,Pagos totales
BtnDeliveryDriversHistoryOrderTotals,Total de pedido
BtnDeliveryDriversHistoryTipEntry,Entrada propinas
MsgDeliveryDriversCashinOutTitle,Entrada / salida de efectivo del conductor
MsgDeliveryDriversChooseCashOperationMessage,Elija entrada o salida de efectivo e ingrese el monto
BtnDeliveryDriversCashIn,Entrada de efectivo
BtnDeliveryDriversCashOut,Salida de efectivo
MsgDeliveryDriversEnterTotalMileage,Ingrese el millaje total de la entrega
MsgDeliveryDriversEnterTotalKilometres,ingresar total de kilómetros para entrega
MsgDeliveryDriversConfirmMileage,Confirme su millaje
MsgDeliveryDriversConfirmKilometres,Por favor confirma tus kilómetros
MsgDeliveryDriversConfirmCorrectMileage,"Si es correcto, toque OK."
MsgDeliveryDriversConfirmIncorrectMileage,"Si no es correcto, ingrese el millaje correcto."
MsgDeliveryDriversConfirmIncorrectKilometres,"Si incorrecto, por favor ingresa kilómetros correctos."
MsgDeliveryDriversMilesTitle,Millas
MsgDeliveryDriversKilometresTitle,Kilómetros
MsgAdditionalOrdersAreReady,Los pedidos adicionales casi están listos. ¿Le gustaría llevarlos con usted?
MsgAdditionalOrdersCurrentOrder,Pedido actual
MsgAdditionalOrdersOrderID,Orden #:
MsgAdditionalOrdersReadyForDelivery,Listo para la entrega
MsgAdditionalOrdersDirections,Indicaciones:
MsgAdditionalOrdersReturnDirections,Indicaciones para el regreso
MsgAdditionalOrdersUpcomingOrder,Núm. de próximo pedido %d
MsgAdditionalOrdersWaitAndTravelTime,Tiempo de espera: %d min. Tiempo de trayecto: %.0f min.
MsgAdditionalOrdersAddToDelivery,Agregar a la entrega
MsgAdditionalOrdersRemoveFromDelivery,Eliminar de la entrega
MsgAdditionalOrdersDetails,Detalles del pedido
MsgAdditionalOrdersDetailsMany,Detalles del pedido [%d de %d]
MsgAdditionalOrdersItem,Artículo
MsgDeliveryOptimizationNotAvailable,La optimización de la entrega no está disponible.
MsgDeliveryOrdersDirectionsTitle,Indicaciones
MsgDeliveryOrdersEmailDirectionsTitle,Enviar indicaciones por correo electrónico
MsgDeliveryOrdersPrintText,¿Desea enviar por correo electrónico o imprimir estas indicaciones?
MsgDeliveryOrdersDeliveryDirectionTitle,Indicaciones para la entrega
MsgDeliveryOrdersDirectionFetchFailedOrders,No hay resultados encontrados usando seleccionado tipo de viaje para pedidos: %@.
MsgDeliveryOrdersDirectionFetchFailed,No hay resultados encontrados usando seleccionado tipo de viaje
BtnDeliverySendOrderAndRouteInfo,Enviar pedido e información de ruta
MsgDeliveryIncludeRouteDirections,Incluir direcciones de ruta
MsgDeliverySendOrderAndRouteInfoNoEmail,Se requiere correo electrónico para enviar correo electrónico a Choferes.
MsgDeliverySendOrderAndRouteInfoNoPhoneNo,Teléfono # es requerido para teclear a los choferes.
MsgDeliveryChangeDiningOptionClockOut,No es posible cambiar opción de comida si chofer de entrega ya ha cerrado su sesión.
MsgDeliveryAddressOutsideDeliveryZone,Dirección fuera de la Zona de entrega
MsgDeliveryAddressOutsideDeliveryZoneManagerPinToProceedMessage,%@ dirección está fuera de Zona de entrega. Por favor ingresa código pin de gerente para proceder.
MsgDeliveryAddressGeocodingFailedPinToProceedMessage,"Dirección de cliente no puede verificarse, por favor revisa tu conexión de red.\nPor favor ingresa código de gerente si quieres proceder. "
MsgDeliveryAddressInvalidErrorMessage,Dirección de este cliente es inválido.\n¿Quieres editar Dirección?
MsgDeliveryAddressInvalidErrorPleaseEditMessage,Dirección de cliente es inválida.\nPor favor edita la dirección.
MsgDeliveryAddressIsNotSet,Dirección de este cliente es inválido.\n¿Quieres editar Dirección?
MsgDeliveryAddressIsNotSetPleaseSet,Dirección de cliente es inválida.\nPor favor edita la dirección.
MsgDeliveryPinOptionsShow,Mostrar Opciones de Pin
MsgDeliveryPinOptionsClose,Cerrar Opciones de Pin
MsgDeliveryManagementNoAccessPermissions,Permisos tienen que establecerse para que el Usuario pueda acceder a la Gestión de entrega.
MsgDeliveryManagementInvalidSettingKeys,Google Maps claves no están establecidas. Por favor ponte en contacto con el apoyo técnico para asistirte.
MsgDeliveryAmountDueShort,Imp.adeudado
MsgDeliveryCloseOpenOrders,¿Cerrar pedidos abiertos?
MsgDeliveryCloseUppaidOrdersToCash,¿Cerrar pedidos no pagados con Efectivo?
MsgDeliveryTillsCashDrop,Gestión de gaveta- Depósito de efectivo
MsgDeliveryOpenUnpaidOrderRemaining,Pedidos abiertos/no pagados pendientes
MsgDeliveryOpenUnpaidOrderRemainingMessage,Hay pedidos todavía abiertos que también no están pagados.\nPor favor abre estos pedidos y enviar pagos.
MsgDeliveryOutstandingTips,Propinas pendientes
MsgDeliveryOutstandingTipsMessage,No has ingresado todas las propinas para tu turno.\n¿Ingresar propinas ahora? (Estarás llevado a Proceso de Propinas)
BtnDeliveryEnterTips,Ingresar propinas
BtnDeliveryDriverEndShift,Final de turno
MsgSalesSummaryDeliveryDriverShiftReport,Informe para Turno de Chofer de Entrega
BtnDeliveryDriverRunSalesReport,Ejecutar Informe de Ventas
MsgDeliveryFailedToFetchReport,Fallado en entregar informe. Por favor revisa tu conexión de red e intenta de nuevo más tarde.
MsgDeliveryDriverHasUnsyncedData,Alguno de tu %@ no se ha sincronizado con el servidor.
MsgDeliveryDriverHasUnsyncedDataProceedMessage,Esto podría afectar significantemente informe de ventas. ¿Quieres esperar o sacar informe de todas formas?
MsgDeliveryTillsOperations,Operaciones de gaveta
MsgDeliveryDriverNotClockedIn,Chofer no ha marcado su entrada
MsgDeliveryVirtualTillsFailedToReceive,Fallado en registrar gavetas desde el iPad principal. Por favor asegúrate que iPad principal esté alcanzable y que tengas conexión de red funcional.
MsgDeliveryEndShiftProcedureFailedToReceiveData,Fallado en registrar datos del iPad Principal. Por favor asegúrate que tu iPad Principal esté alcanzable y que tengas conexión de red funcional.
MsgDeliverySearchBarPlaceholder,"IDs de pedido, Nombre de clientes"
MsgDeliveryDriverCheckedOut,Sesión cerrada
MsgDeliveryDriverCheckedIn,Sesión iniciada
MsgDeliveryOrderDetailsTransportDrive,Conducir
MsgDeliveryOrderDetailsTransportWalk,Caminar
MsgDeliveryOrderDetailsTransportBike,Bicicleta
MsgDeliveryMapMultipleOrderSelectionTitle,Seleccionar pedidos para entrega en esta ubicación
MsgDeliveryOrderCannotBeAutomaticallyClosed,Pedido tiene cuentas separadas y no puede cerrarse automáticamente
MsgDeliveryOrdersCannotBeAutomaticallyClosed,Pedido(s) %@ tienen cuentas separadas y no pueden cerrarse automáticamente
MsgScrOrderSetTillNotSetToCloseOrdersToCash,Gaveta tiene que establecerse para cerrar pedidos con efectivo.
MsgDeliveryShowCheckedOutDriversOnly,Mostrar solo choferes registrados
MsgDeliveryShowAllDrivers,Mostrar todos choferes
BtnCustomDeliverySettings,Opciones de entrega
MsgCustomDeliveryAutoAssign,Asignar
MsgCustomDeliveryOrderShouldBePaid,Pedido %@ debería estar pagado por completo para entrega de UberRUSH
MsgCustomDeliveryWaitingForStatus,Esperando estatus de chofer de UberRUSH
MsgCustomDeliveryWaitingForQuote,Esperando por cuota de entrega UberRUSH
MsgCustomDeliveryRetrievingAccessToken,Recuperando UberRUSH token de acceso...
MsgCustomDeliveryWaitingForCancellation,Esperando selección de propina
MsgCustomDeliveryWaitingForDeliveryResponse,Waiting for LoaylTree response
MsgCustomDeliveryCancellation,Indicaciones para la entrega
MsgCustomDeliveryDoYouWantToCancelDelivery,¿Desea continuar?
MsgCustomDeliveryUnableToRetrieveAccessToken,Incapaz de recuperar UberRUSH token de acceso
MsgCustomDelivery,A Domicilio
MsgCustomDeliveryLargeQuoteTitle,Caja grande
MsgCustomDeliveryDriverInfoHeader,%@ Info de chofer - Pedido %@
MsgCustomDeliveryViewDriverInfo,Ver Uber Driver información
MsgCustomDeliveryOrderAlreadyAccepted,Este pedido ya ha sido aceptado por chofer de UberRUSH. Cancelando esta recogida todavía puede resultar con cargar para mercantil.
MsgCustomDeliveryService,Factura Web de servicio a domicilio
MsgCustomDeliveryServiceFee,Cargo por servicio
MsgCustomDeliveryAssign,Asignar
MsgCustomSettingsManual,Manual
BtnCustomSettingsSaveClose,Guardar y cerrar
MsgCustomDeliveryUberDriverInfo,Nombre: \nTeléfono: \nHacer/Modelo:\nPlato#:
MsgCustomDeliveryUberPickupRejection,Rechazo de Uber Recogida
MsgCustomDeliveryUberPickupWasRejected,Tu petición de entrega previamente aceptada ha sido rechazada por chofer de UberRUSH. Por favor espera nuevo chofer para aceptar tu petición de entrega. 
MsgCustomDeliveryPostmatesDriverInfo,Nombre: \nTeléfono: \nHacer/Modelo:\nPlato#:
MsgEditModeEditItemMode,Modo de administración de artículo
MsgEditModeDescription,Descripción
MsgEditModeDescriptionShort,Desc.
MsgEditModeSKU,NUM.REF.
MsgEditModeBin,Bandeja
MsgEditModeUOM,UOM
MsgEditModePriceEmbedded,Precio incrustado
MsgEditModePrintLabels,Imprimir etiqueta
MsgEditModeCategory,CATEGORIA
MsgEditModeSubcategory,Subcategoría
MsgEditModeSubcat,SUB CATEGORIA
MsgEditModeBalance,Saldo
MsgEditModePrintersKDS,Impresoras
MsgEditModeSelectPrinterKDS,Seleccione Impresora
MsgEditModeSearchPrinterKDS,Seleccione Impresora
MsgEditModeComboWarning,Los artículos contenidos en este paquete deben administrarse individualmente.
MsgEditModeServiceItemWarning,Los servicios no pueden tener existencias
MsgEditModeAdminClassItemWarning,El inventario del artículo con la clase admin. no puede ser manejado
MsgEditModeOutOfBalance,La cantidad no está balanceada.
BtnEditModeInStock,En existencia
BtnEditModeOutOfStock,Agotado
BtnEditModeLowStock,Establecer existencia
MsgEditModeAddProduct,Agregar producto
MsgEditModeAddCategory,Agregar categoría
MsgEditModeAddSubCat,Agregar subcat.
MsgEditModeSaveSuccessful,Guardado con éxito
MsgEditModeOnceYouHaveFinished,"Después de terminar, actualice las otras estaciones para distribuir el cambio o cambios."
MsgEditModeInvalidBarcode,Código de barras debería contener entre 4 y 16 caracteres
MsgEditModeSaveFailed,Error al guardar
MsgEditModeSaveImageOnBeFailed,Hay algún problema con subida de la foto al servidor.\nFoto no ha sido actualizada. 
MsgEditModeNewProduct,Nuevo producto
MsgEditModePleaseSelectProductClass,Seleccione una clase de producto
MsgEditModePleaseSelectCategory,Seleccione Cliente
MsgEditModePleaseSelectCategoryAtFirst,Por favor selecciona la estación
MsgEditModePleaseSelectSubcategory,Por favor selecciona la estación
MsgEditModeSelectProductClass,Seleccione una clase de producto
MsgEditModeSelectCategory,Seleccione una categoría
MsgEditModeSelectSubcategory,Seleccione una subcategoría
MsgEditModeNothingToSelect,No hay nada para seleccionar
MsgEditModeIssuesToRetriveProductClasses,Existen algunos problemas de red para obtener las clases de productos del servidor
MsgEditModePleaseSelectaParentProduct,Seleccione un producto principal
MsgEditModeMatrixOptions,Opciones de matriz
MsgEditModeCreateNewParentProduct,Crear nuevo producto principal
MsgEditModeParentProduct,Producto principal
MsgEditModeNewParent,+Nuevo principal
MsgEditModeParent,Principal
